compartments,abundance,growth_rate,reactions,metabolites,taxon,tradeoff,sample_id
Mogibacterium,0.002494654312188168,0.0002122699099819405,955,913,Mogibacterium,1.0,Cancer3
Parabacteroides,0.010869565217391302,0.5271502542531881,2870,1747,Parabacteroides,1.0,Cancer3
Paraprevotella,0.040627227369921595,6.011326785530245,1968,1391,Paraprevotella,1.0,Cancer3
Phascolarctobacterium,0.012116892373485387,5.152356149366246e-05,1019,945,Phascolarctobacterium,1.0,Cancer3
Pseudomonas,0.000712758374910905,0.10647942803526272,2184,1588,Pseudomonas,1.0,Cancer3
Roseburia,0.07840342124019956,1.4186426459771132e-05,2357,1567,Roseburia,1.0,Cancer3
Streptococcus,0.003920171062009978,0.00019491954530253912,2896,1822,Streptococcus,1.0,Cancer3
Subdoligranulum,0.01532430506058446,4.541824816439123e-05,1731,1301,Subdoligranulum,1.0,Cancer3
Sutterella,0.000712758374910905,0.03880088989108205,1233,1081,Sutterella,1.0,Cancer3
Acidaminococcus,0.0017818959372772627,0.10646568206074278,1278,1090,Acidaminococcus,0.9,Cancer3
Actinomyces,0.00142551674982181,0.0389336493909062,2445,1643,Actinomyces,0.9,Cancer3
Akkermansia,0.04454739843193157,1.4982013711596383e-07,2274,1386,Akkermansia,0.9,Cancer3
Alistipes,0.016571632216678542,1.5687346025063205,2650,1613,Alistipes,0.9,Cancer3
Anaerostipes,0.02975766215253029,1.7069792388211036e-06,2034,1491,Anaerostipes,0.9,Cancer3
Bacteroides,0.0833927298645759,1.7135367631146297,3307,1887,Bacteroides,0.9,Cancer3
Barnesiella,0.000712758374910905,0.0674830418194813,2235,1371,Barnesiella,0.9,Cancer3
Bifidobacterium,0.019779044903777618,1.2834783803709005,3108,1734,Bifidobacterium,0.9,Cancer3
Blautia,0.3749109052031361,1.3169349730702207e-06,3108,1818,Blautia,0.9,Cancer3
Butyricicoccus,0.007483962936564503,3.108747620244054e-06,1915,1442,Butyricicoccus,0.9,Cancer3
Collinsella,0.04419101924447611,8.386816677467672e-07,2629,1587,Collinsella,0.9,Cancer3
Dorea,0.02868852459016393,1.245091033214861e-06,2368,1614,Dorea,0.9,Cancer3
Erysipelatoclostridium,0.000712758374910905,0.0015963614214940904,2826,1639,Erysipelatoclostridium,0.9,Cancer3
Faecalibacterium,0.09248039914468993,2.767157514747425e-07,1986,1472,Faecalibacterium,0.9,Cancer3
Faecalitalea,0.0008909479686386313,7.825107063647576e-05,994,892,Faecalitalea,0.9,Cancer3
Fusobacterium,0.0016037063435495366,0.034439626390941676,2197,1602,Fusobacterium,0.9,Cancer3
Haemophilus,0.0003563791874554525,0.03471139003894506,1504,1246,Haemophilus,0.9,Cancer3
Holdemanella,0.02583749109052031,8.914845222790485e-07,1585,1192,Holdemanella,0.9,Cancer3
Lachnoclostridium,0.004454739843193157,1.433231188688607e-05,3174,1970,Lachnoclostridium,0.9,Cancer3
Lachnospira,0.0010691375623663576,3.6314937973552397e-05,1163,1052,Lachnospira,0.9,Cancer3
Lactobacillus,0.0005345687811831788,0.0012742263392528715,3241,1907,Lactobacillus,0.9,Cancer3
Marvinbryantia,0.016393442622950817,1.6111679479245767e-06,1996,1375,Marvinbryantia,0.9,Cancer3
Megamonas,0.007305773342836778,0.3089009257760938,2052,1493,Megamonas,0.9,Cancer3
Megasphaera,0.029935851746258013,2.8338003849827147,1206,1068,Megasphaera,0.9,Cancer3
Mogibacterium,0.002494654312188168,7.722633536785548e-06,955,913,Mogibacterium,0.9,Cancer3
Parabacteroides,0.010869565217391302,0.47063139583171004,2870,1747,Parabacteroides,0.9,Cancer3
Paraprevotella,0.040627227369921595,3.845729210602096,1968,1391,Paraprevotella,0.9,Cancer3
Phascolarctobacterium,0.012116892373485387,3.168682142373572e-06,1019,945,Phascolarctobacterium,0.9,Cancer3
Pseudomonas,0.000712758374910905,0.067723480122441,2184,1588,Pseudomonas,0.9,Cancer3
Roseburia,0.07840342124019956,5.008188198028529e-07,2357,1567,Roseburia,0.9,Cancer3
Streptococcus,0.003920171062009978,8.311122967944286e-06,2896,1822,Streptococcus,0.9,Cancer3
Subdoligranulum,0.01532430506058446,2.3775666830459175e-06,1731,1301,Subdoligranulum,0.9,Cancer3
Sutterella,0.000712758374910905,0.031211013788329363,1233,1081,Sutterella,0.9,Cancer3
Acidaminococcus,0.0017818959372772627,0.0587033537148118,1278,1090,Acidaminococcus,0.8,Cancer3
Actinomyces,0.00142551674982181,0.027757653653036545,2445,1643,Actinomyces,0.8,Cancer3
Akkermansia,0.04454739843193157,8.896719574684051e-07,2274,1386,Akkermansia,0.8,Cancer3
Alistipes,0.016571632216678542,0.7863384169938276,2650,1613,Alistipes,0.8,Cancer3
Anaerostipes,0.02975766215253029,0.026998025634761866,2034,1491,Anaerostipes,0.8,Cancer3
Bacteroides,0.0833927298645759,1.3794990983933186,3307,1887,Bacteroides,0.8,Cancer3
Barnesiella,0.000712758374910905,0.034549679860502745,2235,1371,Barnesiella,0.8,Cancer3
Bifidobacterium,0.019779044903777618,0.6928756837239229,3108,1734,Bifidobacterium,0.8,Cancer3
Blautia,0.3749109052031361,0.3034250288535286,3108,1818,Blautia,0.8,Cancer3
Butyricicoccus,0.007483962936564503,2.1038398223640682e-07,1915,1442,Butyricicoccus,0.8,Cancer3
Collinsella,0.04419101924447611,0.05167815007853913,2629,1587,Collinsella,0.8,Cancer3
Dorea,0.02868852459016393,1.1584215518268743e-06,2368,1614,Dorea,0.8,Cancer3
Erysipelatoclostridium,0.000712758374910905,0.007045116585952095,2826,1639,Erysipelatoclostridium,0.8,Cancer3
Faecalibacterium,0.09248039914468993,2.52680502108653e-06,1986,1472,Faecalibacterium,0.8,Cancer3
Faecalitalea,0.0008909479686386313,0.0021337526930286753,994,892,Faecalitalea,0.8,Cancer3
Fusobacterium,0.0016037063435495366,0.02930323461948242,2197,1602,Fusobacterium,0.8,Cancer3
Haemophilus,0.0003563791874554525,0.019642235641613947,1504,1246,Haemophilus,0.8,Cancer3
Holdemanella,0.02583749109052031,0.0969096454858311,1585,1192,Holdemanella,0.8,Cancer3
Lachnoclostridium,0.004454739843193157,0.005380661578448447,3174,1970,Lachnoclostridium,0.8,Cancer3
Lachnospira,0.0010691375623663576,0.0015339715558500035,1163,1052,Lachnospira,0.8,Cancer3
Lactobacillus,0.0005345687811831788,0.004969866720899098,3241,1907,Lactobacillus,0.8,Cancer3
Marvinbryantia,0.016393442622950817,0.03498059173021029,1996,1375,Marvinbryantia,0.8,Cancer3
Megamonas,0.007305773342836778,0.18702166458442163,2052,1493,Megamonas,0.8,Cancer3
Megasphaera,0.029935851746258013,1.420474512094961,1206,1068,Megasphaera,0.8,Cancer3
Mogibacterium,0.002494654312188168,5.420140758532629e-07,955,913,Mogibacterium,0.8,Cancer3
Parabacteroides,0.010869565217391302,0.2828608887262614,2870,1747,Parabacteroides,0.8,Cancer3
Paraprevotella,0.040627227369921595,1.9277137078713473,1968,1391,Paraprevotella,0.8,Cancer3
Phascolarctobacterium,0.012116892373485387,0.0572658177459692,1019,945,Phascolarctobacterium,0.8,Cancer3
Pseudomonas,0.000712758374910905,0.03641223933767666,2184,1588,Pseudomonas,0.8,Cancer3
Roseburia,0.07840342124019956,0.0664327900575658,2357,1567,Roseburia,0.8,Cancer3
Streptococcus,0.003920171062009978,1.9195618294072104e-07,2896,1822,Streptococcus,0.8,Cancer3
Subdoligranulum,0.01532430506058446,0.057478959569366016,1731,1301,Subdoligranulum,0.8,Cancer3
Sutterella,0.000712758374910905,0.0188988359991365,1233,1081,Sutterella,0.8,Cancer3
Acidaminococcus,0.0017818959372772627,0.02298350815079727,1278,1090,Acidaminococcus,0.7000000000000001,Cancer3
Actinomyces,0.00142551674982181,0.010771954926225603,2445,1643,Actinomyces,0.7000000000000001,Cancer3
Akkermansia,0.04454739843193157,2.317139932122367e-06,2274,1386,Akkermansia,0.7000000000000001,Cancer3
Alistipes,0.016571632216678542,0.18733598450280964,2650,1613,Alistipes,0.7000000000000001,Cancer3
Anaerostipes,0.02975766215253029,0.05167106269446903,2034,1491,Anaerostipes,0.7000000000000001,Cancer3
Bacteroides,0.0833927298645759,0.41349728800111824,3307,1887,Bacteroides,0.7000000000000001,Cancer3
Barnesiella,0.000712758374910905,0.013610388358170683,2235,1371,Barnesiella,0.7000000000000001,Cancer3
Bifidobacterium,0.019779044903777618,0.17315453503693198,3108,1734,Bifidobacterium,0.7000000000000001,Cancer3
Blautia,0.3749109052031361,0.6478632535236276,3108,1818,Blautia,0.7000000000000001,Cancer3
Butyricicoccus,0.007483962936564503,0.0059452204607120815,1915,1442,Butyricicoccus,0.7000000000000001,Cancer3
Collinsella,0.04419101924447611,0.07963533465604553,2629,1587,Collinsella,0.7000000000000001,Cancer3
Dorea,0.02868852459016393,0.041253966015414534,2368,1614,Dorea,0.7000000000000001,Cancer3
Erysipelatoclostridium,0.000712758374910905,0.008414094844814151,2826,1639,Erysipelatoclostridium,0.7000000000000001,Cancer3
Faecalibacterium,0.09248039914468993,0.11645788398353106,1986,1472,Faecalibacterium,0.7000000000000001,Cancer3
Faecalitalea,0.0008909479686386313,0.005395134822563371,994,892,Faecalitalea,0.7000000000000001,Cancer3
Fusobacterium,0.0016037063435495366,0.010693303508201175,2197,1602,Fusobacterium,0.7000000000000001,Cancer3
Haemophilus,0.0003563791874554525,0.00568921958106732,1504,1246,Haemophilus,0.7000000000000001,Cancer3
Holdemanella,0.02583749109052031,0.060261325861864536,1585,1192,Holdemanella,0.7000000000000001,Cancer3
Lachnoclostridium,0.004454739843193157,0.00992585395924087,3174,1970,Lachnoclostridium,0.7000000000000001,Cancer3
Lachnospira,0.0010691375623663576,0.0035260032567622523,1163,1052,Lachnospira,0.7000000000000001,Cancer3
Lactobacillus,0.0005345687811831788,0.0032914601151631086,3241,1907,Lactobacillus,0.7000000000000001,Cancer3
Marvinbryantia,0.016393442622950817,0.03280050785345679,1996,1375,Marvinbryantia,0.7000000000000001,Cancer3
Megamonas,0.007305773342836778,0.04981153117548922,2052,1493,Megamonas,0.7000000000000001,Cancer3
Megasphaera,0.029935851746258013,0.3384350990813762,1206,1068,Megasphaera,0.7000000000000001,Cancer3
Mogibacterium,0.002494654312188168,0.004813426751755115,955,913,Mogibacterium,0.7000000000000001,Cancer3
Parabacteroides,0.010869565217391302,0.07505587380782211,2870,1747,Parabacteroides,0.7000000000000001,Cancer3
Paraprevotella,0.040627227369921595,0.4592568543656864,1968,1391,Paraprevotella,0.7000000000000001,Cancer3
Phascolarctobacterium,0.012116892373485387,0.030687815924857535,1019,945,Phascolarctobacterium,0.7000000000000001,Cancer3
Pseudomonas,0.000712758374910905,0.011538002414367818,2184,1588,Pseudomonas,0.7000000000000001,Cancer3
Roseburia,0.07840342124019956,0.13610019006645574,2357,1567,Roseburia,0.7000000000000001,Cancer3
Streptococcus,0.003920171062009978,0.005840181345429525,2896,1822,Streptococcus,0.7000000000000001,Cancer3
Subdoligranulum,0.01532430506058446,0.035745145754831335,1731,1301,Subdoligranulum,0.7000000000000001,Cancer3
Sutterella,0.000712758374910905,0.006188347832147945,1233,1081,Sutterella,0.7000000000000001,Cancer3
Acidaminococcus,0.0017818959372772627,0.004575329658601882,1278,1090,Acidaminococcus,0.6,Cancer3
Actinomyces,0.00142551674982181,0.003873399765299317,2445,1643,Actinomyces,0.6,Cancer3
Akkermansia,0.04454739843193157,0.04808100301237398,2274,1386,Akkermansia,0.6,Cancer3
Alistipes,0.016571632216678542,0.03865822713097748,2650,1613,Alistipes,0.6,Cancer3
Anaerostipes,0.02975766215253029,0.05089720468606203,2034,1491,Anaerostipes,0.6,Cancer3
Bacteroides,0.0833927298645759,0.15694823203726907,3307,1887,Bacteroides,0.6,Cancer3
Barnesiella,0.000712758374910905,0.009394945343417647,2235,1371,Barnesiella,0.6,Cancer3
Bifidobacterium,0.019779044903777618,0.04206568884781968,3108,1734,Bifidobacterium,0.6,Cancer3
Blautia,0.3749109052031361,0.6380163240381641,3108,1818,Blautia,0.6,Cancer3
Butyricicoccus,0.007483962936564503,0.013702814904541791,1915,1442,Butyricicoccus,0.6,Cancer3
Collinsella,0.04419101924447611,0.07538657763864266,2629,1587,Collinsella,0.6,Cancer3
Dorea,0.02868852459016393,0.04835843396136217,2368,1614,Dorea,0.6,Cancer3
Erysipelatoclostridium,0.000712758374910905,0.0018711922793806508,2826,1639,Erysipelatoclostridium,0.6,Cancer3
Faecalibacterium,0.09248039914468993,0.15496194418142073,1986,1472,Faecalibacterium,0.6,Cancer3
Faecalitalea,0.0008909479686386313,0.007043979510090594,994,892,Faecalitalea,0.6,Cancer3
Fusobacterium,0.0016037063435495366,0.0035703843931975,2197,1602,Fusobacterium,0.6,Cancer3
Haemophilus,0.0003563791874554525,0.001086211867646367,1504,1246,Haemophilus,0.6,Cancer3
Holdemanella,0.02583749109052031,0.04484055246438068,1585,1192,Holdemanella,0.6,Cancer3
Lachnoclostridium,0.004454739843193157,0.009754370740698388,3174,1970,Lachnoclostridium,0.6,Cancer3
Lachnospira,0.0010691375623663576,0.005265567314361089,1163,1052,Lachnospira,0.6,Cancer3
Lactobacillus,0.0005345687811831788,0.0011558659385317478,3241,1907,Lactobacillus,0.6,Cancer3
Marvinbryantia,0.016393442622950817,0.028148863235783347,1996,1375,Marvinbryantia,0.6,Cancer3
Megamonas,0.007305773342836778,0.016693789668367175,2052,1493,Megamonas,0.6,Cancer3
Megasphaera,0.029935851746258013,0.06733439448999186,1206,1068,Megasphaera,0.6,Cancer3
Mogibacterium,0.002494654312188168,0.007646563807805382,955,913,Mogibacterium,0.6,Cancer3
Parabacteroides,0.010869565217391302,0.022616537707362928,2870,1747,Parabacteroides,0.6,Cancer3
Paraprevotella,0.040627227369921595,0.09084855856106733,1968,1391,Paraprevotella,0.6,Cancer3
Phascolarctobacterium,0.012116892373485387,0.021461906415038676,1019,945,Phascolarctobacterium,0.6,Cancer3
Pseudomonas,0.000712758374910905,0.001998932273886925,2184,1588,Pseudomonas,0.6,Cancer3
Roseburia,0.07840342124019956,0.1336299378756468,2357,1567,Roseburia,0.6,Cancer3
Streptococcus,0.003920171062009978,0.007673862894615957,2896,1822,Streptococcus,0.6,Cancer3
Subdoligranulum,0.01532430506058446,0.0265953875498593,1731,1301,Subdoligranulum,0.6,Cancer3
Sutterella,0.000712758374910905,0.0017243786989453679,1233,1081,Sutterella,0.6,Cancer3
Acidaminococcus,0.0017818959372772627,0.0025416172072990745,1278,1090,Acidaminococcus,0.5,Cancer3
Actinomyces,0.00142551674982181,0.002032935592380613,2445,1643,Actinomyces,0.5,Cancer3
Akkermansia,0.04454739843193157,0.06352859574865868,2274,1386,Akkermansia,0.5,Cancer3
Alistipes,0.016571632216678542,0.023632508584032052,2650,1613,Alistipes,0.5,Cancer3
Anaerostipes,0.02975766215253029,0.04243660971912793,2034,1491,Anaerostipes,0.5,Cancer3
Bacteroides,0.0833927298645759,0.1189241132281137,3307,1887,Bacteroides,0.5,Cancer3
Barnesiella,0.000712758374910905,0.009889786107076713,2235,1371,Barnesiella,0.5,Cancer3
Bifidobacterium,0.019779044903777618,0.028206288218810688,3108,1734,Bifidobacterium,0.5,Cancer3
Blautia,0.3749109052031361,0.5346443022277898,3108,1818,Blautia,0.5,Cancer3
Butyricicoccus,0.007483962936564503,0.01256457105394835,1915,1442,Butyricicoccus,0.5,Cancer3
Collinsella,0.04419101924447611,0.0630194104153235,2629,1587,Collinsella,0.5,Cancer3
Dorea,0.02868852459016393,0.04091188481907061,2368,1614,Dorea,0.5,Cancer3
Erysipelatoclostridium,0.000712758374910905,0.001016651678440978,2826,1639,Erysipelatoclostridium,0.5,Cancer3
Faecalibacterium,0.09248039914468993,0.13188305977086762,1986,1472,Faecalibacterium,0.5,Cancer3
Faecalitalea,0.0008909479686386313,0.005317007889541677,994,892,Faecalitalea,0.5,Cancer3
Fusobacterium,0.0016037063435495366,0.0022878539807508215,2197,1602,Fusobacterium,0.5,Cancer3
Haemophilus,0.0003563791874554525,0.0005083797437699752,1504,1246,Haemophilus,0.5,Cancer3
Holdemanella,0.02583749109052031,0.03684688991413374,1585,1192,Holdemanella,0.5,Cancer3
Lachnoclostridium,0.004454739843193157,0.006353073388634069,3174,1970,Lachnoclostridium,0.5,Cancer3
Lachnospira,0.0010691375623663576,0.00478835953310681,1163,1052,Lachnospira,0.5,Cancer3
Lactobacillus,0.0005345687811831788,0.0007626708644790864,3241,1907,Lactobacillus,0.5,Cancer3
Marvinbryantia,0.016393442622950817,0.023379956786782514,1996,1375,Marvinbryantia,0.5,Cancer3
Megamonas,0.007305773342836778,0.01041867348775212,2052,1493,Megamonas,0.5,Cancer3
Megasphaera,0.029935851746258013,0.0430836791421794,1206,1068,Megasphaera,0.5,Cancer3
Mogibacterium,0.002494654312188168,0.007303002605277796,955,913,Mogibacterium,0.5,Cancer3
Parabacteroides,0.010869565217391302,0.015500886943962516,2870,1747,Parabacteroides,0.5,Cancer3
Paraprevotella,0.040627227369921595,0.05793747453616558,1968,1391,Paraprevotella,0.5,Cancer3
Phascolarctobacterium,0.012116892373485387,0.017342990339077012,1019,945,Phascolarctobacterium,0.5,Cancer3
Pseudomonas,0.000712758374910905,0.001016695192287769,2184,1588,Pseudomonas,0.5,Cancer3
Roseburia,0.07840342124019956,0.11180825655982951,2357,1567,Roseburia,0.5,Cancer3
Streptococcus,0.003920171062009978,0.0055904644374290425,2896,1822,Streptococcus,0.5,Cancer3
Subdoligranulum,0.01532430506058446,0.021854809681480243,1731,1301,Subdoligranulum,0.5,Cancer3
Sutterella,0.000712758374910905,0.001017204342860737,1233,1081,Sutterella,0.5,Cancer3
Acidaminococcus,0.0017818959372772627,0.0020317302605674524,1278,1090,Acidaminococcus,0.4,Cancer3
Actinomyces,0.00142551674982181,0.001625388280915496,2445,1643,Actinomyces,0.4,Cancer3
Akkermansia,0.04454739843193157,0.05183075709416331,2274,1386,Akkermansia,0.4,Cancer3
Alistipes,0.016571632216678542,0.01889499817025047,2650,1613,Alistipes,0.4,Cancer3
Anaerostipes,0.02975766215253029,0.03392972613354049,2034,1491,Anaerostipes,0.4,Cancer3
Bacteroides,0.0833927298645759,0.09508448614836773,3307,1887,Bacteroides,0.4,Cancer3
Barnesiella,0.000712758374910905,0.009105817144830226,2235,1371,Barnesiella,0.4,Cancer3
Bifidobacterium,0.019779044903777618,0.022552092813662838,3108,1734,Bifidobacterium,0.4,Cancer3
Blautia,0.3749109052031361,0.4274737710937481,3108,1818,Blautia,0.4,Cancer3
Butyricicoccus,0.007483962936564503,0.01033768702684787,1915,1442,Butyricicoccus,0.4,Cancer3
Collinsella,0.04419101924447611,0.05038665477333506,2629,1587,Collinsella,0.4,Cancer3
Dorea,0.02868852459016393,0.03271069384300979,2368,1614,Dorea,0.4,Cancer3
Erysipelatoclostridium,0.000712758374910905,0.0008127152101082561,2826,1639,Erysipelatoclostridium,0.4,Cancer3
Faecalibacterium,0.09248039914468993,0.10544625953786435,1986,1472,Faecalibacterium,0.4,Cancer3
Faecalitalea,0.0008909479686386313,0.006543589277167501,994,892,Faecalitalea,0.4,Cancer3
Fusobacterium,0.0016037063435495366,0.0018285598492860614,2197,1602,Fusobacterium,0.4,Cancer3
Haemophilus,0.0003563791874554525,0.0004064031005884097,1504,1246,Haemophilus,0.4,Cancer3
Holdemanella,0.02583749109052031,0.029459968595217805,1585,1192,Holdemanella,0.4,Cancer3
Lachnoclostridium,0.004454739843193157,0.005079303908283116,3174,1970,Lachnoclostridium,0.4,Cancer3
Lachnospira,0.0010691375623663576,0.0050775882260066215,1163,1052,Lachnospira,0.4,Cancer3
Lactobacillus,0.0005345687811831788,0.0006095540219317561,3241,1907,Lactobacillus,0.4,Cancer3
Marvinbryantia,0.016393442622950817,0.01869190829030931,1996,1375,Marvinbryantia,0.4,Cancer3
Megamonas,0.007305773342836778,0.008330054081579974,2052,1493,Megamonas,0.4,Cancer3
Megasphaera,0.029935851746258013,0.035849575226135105,1206,1068,Megasphaera,0.4,Cancer3
Mogibacterium,0.002494654312188168,0.006559167161323493,955,913,Mogibacterium,0.4,Cancer3
Parabacteroides,0.010869565217391302,0.012393493629199538,2870,1747,Parabacteroides,0.4,Cancer3
Paraprevotella,0.040627227369921595,0.04632322026175441,1968,1391,Paraprevotella,0.4,Cancer3
Phascolarctobacterium,0.012116892373485387,0.015016468919012057,1019,945,Phascolarctobacterium,0.4,Cancer3
Pseudomonas,0.000712758374910905,0.0008127152616347662,2184,1588,Pseudomonas,0.4,Cancer3
Roseburia,0.07840342124019956,0.08939567501874328,2357,1567,Roseburia,0.4,Cancer3
Streptococcus,0.003920171062009978,0.004469788003623131,2896,1822,Streptococcus,0.4,Cancer3
Subdoligranulum,0.01532430506058446,0.017535493449349807,1731,1301,Subdoligranulum,0.4,Cancer3
Sutterella,0.000712758374910905,0.0008127159431351655,1233,1081,Sutterella,0.4,Cancer3
Acidaminococcus,0.0017818959372772627,0.001523119490481401,1278,1090,Acidaminococcus,0.30000000000000004,Cancer3
Actinomyces,0.00142551674982181,0.0012185041492786724,2445,1643,Actinomyces,0.30000000000000004,Cancer3
Akkermansia,0.04454739843193157,0.0389980802052014,2274,1386,Akkermansia,0.30000000000000004,Cancer3
Alistipes,0.016571632216678542,0.014164873999278842,2650,1613,Alistipes,0.30000000000000004,Cancer3
Anaerostipes,0.02975766215253029,0.025435847887659745,2034,1491,Anaerostipes,0.30000000000000004,Cancer3
Bacteroides,0.0833927298645759,0.07128129462238225,3307,1887,Bacteroides,0.30000000000000004,Cancer3
Barnesiella,0.000712758374910905,0.008954994154731308,2235,1371,Barnesiella,0.30000000000000004,Cancer3
Bifidobacterium,0.019779044903777618,0.01690646179423131,3108,1734,Bifidobacterium,0.30000000000000004,Cancer3
Blautia,0.3749109052031361,0.3204611657645794,3108,1818,Blautia,0.30000000000000004,Cancer3
Butyricicoccus,0.007483962936564503,0.009501797761738491,1915,1442,Butyricicoccus,0.30000000000000004,Cancer3
Collinsella,0.04419101924447611,0.03777299445236218,2629,1587,Collinsella,0.30000000000000004,Cancer3
Dorea,0.02868852459016393,0.024521985074888904,2368,1614,Dorea,0.30000000000000004,Cancer3
Erysipelatoclostridium,0.000712758374910905,0.000609291847897545,2826,1639,Erysipelatoclostridium,0.30000000000000004,Cancer3
Faecalibacterium,0.09248039914468993,0.07904912901712685,1986,1472,Faecalibacterium,0.30000000000000004,Cancer3
Faecalitalea,0.0008909479686386313,0.00687033408432981,994,892,Faecalitalea,0.30000000000000004,Cancer3
